product_name,sugar_g,carbs_g,calories,sodium_mg,fat_g,age_group,bmi_category,diabetes_type,label
"Taoge kacang kedelai, segar",0.0,6.4,76.0,5.0,2.6,adult,normal,1,Recommended
"Taoge kacang kedelai, segar",0.0,6.4,76.0,5.0,2.6,adult,overweight,2,Recommended
"Taoge kacang kedelai, segar",0.0,6.4,76.0,5.0,2.6,elderly,normal,2,Recommended
"Taoge kacang kedelai, segar",0.0,6.4,76.0,5.0,2.6,child,normal,1,Recommended
"Taoge kacang kedelai, segar",0.0,6.4,76.0,5.0,2.6,child,normal,0,Recommended
Renggi Goreng,0.0,64.1,471.0,126.0,21.8,adult,normal,0,Caution
Renggi Goreng,0.0,64.1,471.0,126.0,21.8,adult,overweight,0,Not Recommended
Renggi Goreng,0.0,64.1,471.0,126.0,21.8,adult,normal,1,Not Recommended
Renggi Goreng,0.0,64.1,471.0,126.0,21.8,adult,overweight,2,Not Recommended
Renggi Goreng,0.0,64.1,471.0,126.0,21.8,elderly,normal,2,Not Recommended
Renggi Goreng,0.0,64.1,471.0,126.0,21.8,child,normal,1,Not Recommended
Renggi Goreng,0.0,64.1,471.0,126.0,21.8,child,normal,0,Caution
Saus Char siu (chinese BBQ),13.0,14.0,60.0,0.0,0.0,adult,normal,0,Recommended
Saus Char siu (chinese BBQ),13.0,14.0,60.0,0.0,0.0,adult,overweight,0,Recommended
Saus Char siu (chinese BBQ),13.0,14.0,60.0,0.0,0.0,adult,normal,1,Caution
Saus Char siu (chinese BBQ),13.0,14.0,60.0,0.0,0.0,adult,overweight,2,Not Recommended
Saus Char siu (chinese BBQ),13.0,14.0,60.0,0.0,0.0,elderly,normal,2,Not Recommended
Saus Char siu (chinese BBQ),13.0,14.0,60.0,0.0,0.0,child,normal,1,Not Recommended
Saus Char siu (chinese BBQ),13.0,14.0,60.0,0.0,0.0,child,normal,0,Recommended
"Daun kedongdong, segar",0.0,13.4,59.0,12.0,0.3,adult,normal,0,Recommended
"Daun kedongdong, segar",0.0,13.4,59.0,12.0,0.3,adult,overweight,0,Recommended
"Daun kedongdong, segar",0.0,13.4,59.0,12.0,0.3,adult,normal,1,Recommended
"Daun kedongdong, segar",0.0,13.4,59.0,12.0,0.3,adult,overweight,2,Recommended
"Daun kedongdong, segar",0.0,13.4,59.0,12.0,0.3,elderly,normal,2,Recommended
"Daun kedongdong, segar",0.0,13.4,59.0,12.0,0.3,child,normal,1,Recommended
"Daun kedongdong, segar",0.0,13.4,59.0,12.0,0.3,child,normal,0,Recommended
Semur jengkol,0.0,29.1,212.0,0.0,10.0,adult,normal,0,Recommended
Semur jengkol,0.0,29.1,212.0,0.0,10.0,adult,overweight,0,Caution
Semur jengkol,0.0,29.1,212.0,0.0,10.0,adult,normal,1,Caution
Semur jengkol,0.0,29.1,212.0,0.0,10.0,adult,overweight,2,Not Recommended
Semur jengkol,0.0,29.1,212.0,0.0,10.0,elderly,normal,2,Not Recommended
Semur jengkol,0.0,29.1,212.0,0.0,10.0,child,normal,1,Caution
Semur jengkol,0.0,29.1,212.0,0.0,10.0,child,normal,0,Recommended
Chatime taro milk tea,54.5,70.0,399.0,0.0,12.0,adult,normal,0,Not Recommended
Chatime taro milk tea,54.5,70.0,399.0,0.0,12.0,adult,overweight,0,Not Recommended
Chatime taro milk tea,54.5,70.0,399.0,0.0,12.0,adult,normal,1,Not Recommended
Chatime taro milk tea,54.5,70.0,399.0,0.0,12.0,adult,overweight,2,Not Recommended
Chatime taro milk tea,54.5,70.0,399.0,0.0,12.0,elderly,normal,2,Not Recommended
Chatime taro milk tea,54.5,70.0,399.0,0.0,12.0,child,normal,1,Not Recommended
Chatime taro milk tea,54.5,70.0,399.0,0.0,12.0,child,normal,0,Not Recommended
Biokul natural set yogurt,3.0,10.0,70.0,0.0,1.0,adult,normal,0,Recommended
Biokul natural set yogurt,3.0,10.0,70.0,0.0,1.0,adult,overweight,0,Recommended
Biokul natural set yogurt,3.0,10.0,70.0,0.0,1.0,adult,normal,1,Recommended
Biokul natural set yogurt,3.0,10.0,70.0,0.0,1.0,adult,overweight,2,Recommended
Biokul natural set yogurt,3.0,10.0,70.0,0.0,1.0,elderly,normal,2,Recommended
Biokul natural set yogurt,3.0,10.0,70.0,0.0,1.0,child,normal,1,Recommended
Biokul natural set yogurt,3.0,10.0,70.0,0.0,1.0,child,normal,0,Recommended
Kambose,0.0,32.6,164.0,0.0,2.4,adult,normal,0,Recommended
Kambose,0.0,32.6,164.0,0.0,2.4,adult,overweight,0,Recommended
Kambose,0.0,32.6,164.0,0.0,2.4,adult,normal,1,Caution
Kambose,0.0,32.6,164.0,0.0,2.4,adult,overweight,2,Caution
Kambose,0.0,32.6,164.0,0.0,2.4,elderly,normal,2,Caution
Kambose,0.0,32.6,164.0,0.0,2.4,child,normal,1,Caution
Kambose,0.0,32.6,164.0,0.0,2.4,child,normal,0,Recommended
Sarden ABC saus tomat,2.0,9.0,100.0,0.0,2.0,adult,normal,0,Recommended
